screen_name,tweet,created_at
realDonaldTrump,"President @realDonaldTrump: “Under the Trump Administration, if you cross our border illegally, you are quickly apprehended and SWIFTLY returned back home.” https://t.co/DhOYfOiBkk",8/19/2020 1:40
realDonaldTrump,"This morning, President @realDonaldTrump was joined by @FLOTUS, @SBAJovita, and more as he signed a proclamation in honor of the centennial anniversary of women's suffrage!

Behind the scenes of today's signing: https://t.co/A68ueVC88u https://t.co/VON03M5duV",8/19/2020 1:38
realDonaldTrump,Tell the Dems that we have more Cases because we do FAR more Testing than any other Country!,8/19/2020 1:35
realDonaldTrump,"Colin Powell is a Neocon WMD hoaxer, so of course he's appearing at the #DemConvention to endorse Establishment's puppet and denounce President Trump.",8/19/2020 0:16
realDonaldTrump,"Democrats don’t want you to see this.

They’re scared that I’m exposing what life is like in Democrat run cities.

That’s why I’m running for Congress
Because All Black Lives Matter
Baltimore Matters
And black people don’t have to vote Democrat
Help us win https://t.co/CSOjc9aQlS https://t.co/XnEDTaDDIG",8/18/2020 23:36
realDonaldTrump,".@Amazon, and others in that business, should be charged (by the U.S. Postal System) much more per package, and the Post Office would be immediately brought back to “good health”, now vibrant, with ALL jobs saved. No pass on to customers. Get it done!",8/18/2020 22:49
realDonaldTrump,https://t.co/IOpfnL4u7r,8/18/2020 21:29
realDonaldTrump,"...Meanwhile, I gave America energy independence in fact, so much energy we could never use it all. The Bernie/Biden/AOC Green New Deal plan would take California’s failed policies to every American!",8/18/2020 18:38
realDonaldTrump,"In California, Democrats have intentionally implemented rolling blackouts — forcing Americans in the dark. Democrats are unable to keep up with energy demand...",8/18/2020 18:38
realDonaldTrump,Thank you for being here President @realDonaldTrump! Appreciate the strong partnership from you and the entire team. #Derecho2020 https://t.co/yxyU4hy327,8/18/2020 17:51
realDonaldTrump,https://t.co/p8ym8S2d5o,8/18/2020 17:42
realDonaldTrump,"The Democrats have to start enforcing Law and Order in their cities and states. New York City, Chicago and Portland are a total DISASTER!",8/18/2020 17:38
realDonaldTrump,https://t.co/6dN0Ib4Nto,8/18/2020 17:30
realDonaldTrump,LIVE: President @realDonaldTrump participates in Iowa disaster recovery briefing https://t.co/503L3jzlLX,8/18/2020 17:30
realDonaldTrump,"Waiting to brief President Trump on Iowa’s derecho devastation @ Cedar Rapids, Iowa https://t.co/CPAUxV3gRI",8/18/2020 17:30
realDonaldTrump,A proposal by Pentagon officials to slash Military Healthcare by $2.2 billion dollars has been firmly and totally rejected by me. We will do nothing to hurt our great Military professionals &amp; heroes as long as I am your President. Thank you!,8/18/2020 16:14
realDonaldTrump,"People forget how divided our Country was under ObamaBiden. The anger and hatred were unbelievable. They shouldn’t be lecturing to us. I’m here, as your President, because of them!",8/18/2020 15:27
